United States of America,10689
Unknown,3973
United Kingdom,2475
The Netherlands,1590
Canada,1437
Germany,1099
Australia,777
India,299
Italy,250
China,238
Spain,228
France,200
Austria,184
Belgium,112
Finland,96
Thailand,83
Sweden,72
Hong Kong,68
Poland,49
Worldwide,44
Russia,35
South Africa,34
Moldova,30
Norway,29
Hungary,25
Portugal,23
Switzerland,22
New Zealand,20
Denmark,19
Czech Republic,18
Bosnia and Herzegovina,15
Indonesia,15
nan,15
Japan,9
Swaziland,9
Singapore,9
Mexico,9
Cambodia,8
European Union,7
internet,5
Brazil,4
Bahamas,4
Slovakia,4
Netherland Antilles,4
Pakistan,4
Philippines,3
Ireland,3
Saipan,3
Direct DL,3
me,2
Me,2
Nauru,2
www,2
High Speed DL,2
Syria,2
Israel,1
Azerbaijan,1
Angola,1
Martinique,1
Mongolia,1
Tranquility,1
Andorra,1
Scandinavia(EU),1
Albania,1
Nevis,1
United Arab Emirates,1
Vatican City State,1
Nepal,1
my hard drive,1
Internet,1
E-mail,1
Afghanistan,1
Fast Direct DL,1
Direct Download,1
American Samoa,1
My Inbox,1
Uzbekistan,1
